epoch, time, auc
0.000000, 0.289938,0.438299
0.000000, 0.318800,0.448518
0.000000, 0.347476,0.455134
0.000000, 0.377577,0.457788
0.000000, 0.399339,0.461603
0.000000, 0.418313,0.464779
0.000000, 0.437106,0.467239
0.000000, 0.456440,0.470376
0.000000, 0.476164,0.473556
0.000000, 0.495377,0.476551
0.000000, 0.514549,0.479456
0.000000, 0.536020,0.481013
0.000000, 0.554691,0.483179
0.000000, 0.573782,0.484881
0.000000, 0.592844,0.486534
0.000000, 0.611974,0.488361
0.000000, 0.632447,0.490225
0.000000, 0.651569,0.492340
0.000000, 0.670609,0.494312
0.000000, 0.691075,0.495940
0.000000, 0.709945,0.497723
0.000000, 0.728585,0.499545
0.000000, 0.747983,0.501110
0.000000, 0.766906,0.502769
0.000000, 0.786199,0.504262
0.000000, 0.805618,0.505750
0.000000, 0.824866,0.507222
0.000000, 0.843931,0.508663
0.000000, 0.863766,0.510091
0.000000, 0.882907,0.511757
0.000000, 0.901929,0.513311
0.000000, 0.921066,0.514844
0.000000, 0.941050,0.516269
0.000000, 0.960212,0.517745
0.000000, 0.979916,0.519178
0.000000, 0.999238,0.520848
0.000000, 1.018569,0.522527
0.000000, 1.038751,0.524455
0.000000, 1.059320,0.526297
0.000000, 1.078204,0.528045
0.000000, 1.097391,0.529743
0.000000, 1.117381,0.531214
0.000000, 1.136955,0.532721
0.000000, 1.156135,0.534416
0.000000, 1.176067,0.536085
0.000000, 1.195713,0.537667
0.000000, 1.214583,0.539195
0.000000, 1.234779,0.540354
0.000000, 1.255012,0.541544
0.000000, 1.274432,0.542766
0.000000, 1.294629,0.543911
0.000000, 1.314271,0.545129
0.000000, 1.334017,0.546341
0.000000, 1.353479,0.547454
0.000000, 1.372327,0.548535
0.000000, 1.392536,0.549679
0.000000, 1.411967,0.550909
0.000000, 1.432057,0.552213
0.000000, 1.451420,0.553539
0.000000, 1.470888,0.554924
0.000000, 1.490432,0.556272
0.000000, 1.510038,0.557481
0.000000, 1.529495,0.558619
0.000000, 1.548681,0.559744
0.000000, 1.568159,0.560978
0.000000, 1.587831,0.562157
0.000000, 1.607661,0.563262
0.000000, 1.627210,0.564395
0.000000, 1.647389,0.565602
