epoch, time, auc
0.000000, 0.135308,0.428461
0.000000, 0.175835,0.441096
0.000000, 0.209868,0.451454
0.000000, 0.244653,0.455909
0.000000, 0.266610,0.457615
0.000000, 0.295591,0.460018
0.000000, 0.320880,0.462852
0.000000, 0.348106,0.465123
0.000000, 0.372192,0.466543
0.000000, 0.400056,0.468065
0.000000, 0.421628,0.469799
0.000000, 0.450218,0.471363
0.000000, 0.472533,0.472526
0.000000, 0.502117,0.473784
0.000000, 0.529879,0.474995
0.000000, 0.558281,0.476365
0.000000, 0.580903,0.477704
0.000000, 0.605980,0.478963
0.000000, 0.628750,0.480175
0.000000, 0.654209,0.481366
0.000000, 0.676332,0.482607
0.000000, 0.703174,0.483958
0.000000, 0.727490,0.485102
0.000000, 0.753606,0.486409
0.000000, 0.775598,0.487621
0.000000, 0.805425,0.488986
0.000000, 0.828337,0.490275
0.000000, 0.855640,0.491541
0.000000, 0.877962,0.492918
0.000000, 0.907423,0.494313
0.000000, 0.930765,0.495747
0.000000, 0.959617,0.497098
0.000000, 0.981967,0.498284
0.000000, 1.009706,0.499555
0.000000, 1.033133,0.500808
0.000000, 1.060746,0.501908
0.000000, 1.082683,0.502985
0.000000, 1.109652,0.504029
0.000000, 1.131900,0.505148
0.000000, 1.160268,0.506259
0.000000, 1.182776,0.507465
0.000000, 1.210809,0.508645
0.000000, 1.233868,0.509933
0.000000, 1.261372,0.511173
0.000000, 1.282907,0.512329
0.000000, 1.309150,0.513470
0.000000, 1.332705,0.514681
0.000000, 1.359787,0.515984
0.000000, 1.383658,0.517282
0.000000, 1.409323,0.518580
0.000000, 1.429851,0.519933
0.000000, 1.454690,0.521246
0.000000, 1.477498,0.522500
0.000000, 1.503306,0.523760
0.000000, 1.524988,0.525109
0.000000, 1.551542,0.526319
0.000000, 1.573128,0.527483
0.000000, 1.601993,0.528614
0.000000, 1.623265,0.529784
0.000000, 1.650620,0.530923
0.000000, 1.672380,0.532085
0.000000, 1.698541,0.533284
0.000000, 1.720944,0.534427
0.000000, 1.748014,0.535467
0.000000, 1.770402,0.536591
0.000000, 1.795813,0.537635
0.000000, 1.818945,0.538677
0.000000, 1.844145,0.539694
0.000000, 1.865151,0.540817
0.000000, 1.892005,0.541881
0.000000, 1.914355,0.542896
0.000000, 1.940904,0.544072
0.000000, 1.963974,0.545221
0.000000, 1.998007,0.546375
0.000000, 2.021143,0.547571
0.000000, 2.047516,0.548740
0.000000, 2.068622,0.549913
0.000000, 2.094149,0.551052
0.000000, 2.116531,0.552111
0.000000, 2.141690,0.553245
0.000000, 2.162171,0.554453
0.000000, 2.188239,0.555460
0.000000, 2.210179,0.556498
0.000000, 2.237059,0.557610
0.000000, 2.258579,0.558657
0.000000, 2.283323,0.559757
0.000000, 2.304524,0.560899
0.000000, 2.331767,0.562018
0.000000, 2.353788,0.563176
0.000000, 2.380597,0.564202
0.000000, 2.402590,0.565332
0.000000, 2.428616,0.566411
0.000000, 2.450085,0.567512
0.000000, 2.476651,0.568583
0.000000, 2.499230,0.569704
0.000000, 2.526386,0.570781
0.000000, 2.548700,0.572014
0.000000, 2.575576,0.573228
0.000000, 2.599142,0.574404
0.000000, 2.626167,0.575730
0.000000, 2.648514,0.576871
0.000000, 2.674075,0.577935
0.000000, 2.695932,0.579016
0.000000, 2.723746,0.580015
0.000000, 2.747100,0.580988
0.000000, 2.772574,0.581914
0.000000, 2.794973,0.582877
0.000000, 2.820726,0.583882
0.000000, 2.842767,0.584897
0.000000, 2.869113,0.585933
0.000000, 2.890856,0.586954
0.000000, 2.919606,0.587995
0.000000, 2.944391,0.588916
0.000000, 2.973389,0.589833
0.000000, 2.993620,0.590696
0.000000, 3.020106,0.591591
0.000000, 3.040384,0.592457
1.000000, 3.070455,0.592530
1.000000, 3.090262,0.592612
1.000000, 3.115916,0.592727
1.000000, 3.138239,0.592838
1.000000, 3.166590,0.592947
1.000000, 3.187630,0.593047
1.000000, 3.214556,0.593137
1.000000, 3.235249,0.593270
1.000000, 3.263894,0.593415
1.000000, 3.286725,0.593553
1.000000, 3.311894,0.593696
1.000000, 3.334451,0.593839
1.000000, 3.359278,0.593970
1.000000, 3.380919,0.594123
1.000000, 3.405926,0.594265
1.000000, 3.427421,0.594385
1.000000, 3.452932,0.594509
1.000000, 3.476666,0.594618
1.000000, 3.506776,0.594743
1.000000, 3.529493,0.594841
1.000000, 3.556474,0.594948
1.000000, 3.579247,0.595064
1.000000, 3.606785,0.595188
1.000000, 3.629224,0.595317
1.000000, 3.656752,0.595447
1.000000, 3.677334,0.595565
1.000000, 3.705295,0.595678
1.000000, 3.730279,0.595818
1.000000, 3.756054,0.595934
1.000000, 3.777689,0.596054
1.000000, 3.804164,0.596168
1.000000, 3.827404,0.596287
1.000000, 3.854977,0.596401
1.000000, 3.877161,0.596536
1.000000, 3.903026,0.596674
1.000000, 3.924758,0.596792
1.000000, 3.954270,0.596907
1.000000, 3.977105,0.597024
1.000000, 4.002930,0.597139
1.000000, 4.024560,0.597236
1.000000, 4.052310,0.597344
1.000000, 4.076128,0.597456
1.000000, 4.102246,0.597568
1.000000, 4.124110,0.597669
1.000000, 4.149935,0.597755
1.000000, 4.171726,0.597879
1.000000, 4.198658,0.598020
1.000000, 4.221131,0.598128
1.000000, 4.248057,0.598222
1.000000, 4.268257,0.598321
1.000000, 4.295295,0.598439
1.000000, 4.321042,0.598578
1.000000, 4.347500,0.598695
1.000000, 4.369473,0.598817
1.000000, 4.395449,0.598942
1.000000, 4.415921,0.599063
1.000000, 4.440824,0.599203
1.000000, 4.461670,0.599330
1.000000, 4.489041,0.599465
1.000000, 4.513719,0.599587
1.000000, 4.540069,0.599714
1.000000, 4.561253,0.599828
1.000000, 4.588556,0.599944
1.000000, 4.613211,0.600088
1.000000, 4.639626,0.600215
1.000000, 4.662226,0.600331
1.000000, 4.691470,0.600442
1.000000, 4.713423,0.600557
1.000000, 4.741560,0.600666
1.000000, 4.767218,0.600794
1.000000, 4.793244,0.600913
1.000000, 4.815805,0.601026
1.000000, 4.842400,0.601145
1.000000, 4.863726,0.601268
1.000000, 4.890589,0.601366
1.000000, 4.910997,0.601473
1.000000, 4.938164,0.601602
1.000000, 4.959605,0.601728
1.000000, 4.986644,0.601837
1.000000, 5.008345,0.601938
1.000000, 5.035649,0.602069
1.000000, 5.057701,0.602179
1.000000, 5.086140,0.602297
1.000000, 5.110783,0.602433
1.000000, 5.138655,0.602558
1.000000, 5.160156,0.602674
1.000000, 5.188192,0.602783
1.000000, 5.212297,0.602893
1.000000, 5.237828,0.603005
1.000000, 5.259857,0.603119
1.000000, 5.287663,0.603238
1.000000, 5.310238,0.603359
1.000000, 5.334822,0.603469
1.000000, 5.355833,0.603589
1.000000, 5.381803,0.603684
1.000000, 5.404468,0.603803
1.000000, 5.431758,0.603919
1.000000, 5.455908,0.604042
1.000000, 5.482684,0.604168
1.000000, 5.504666,0.604289
1.000000, 5.531660,0.604401
1.000000, 5.553504,0.604510
1.000000, 5.581469,0.604625
1.000000, 5.602653,0.604749
1.000000, 5.629268,0.604854
1.000000, 5.650029,0.604949
1.000000, 5.677776,0.605045
1.000000, 5.699749,0.605147
1.000000, 5.725153,0.605248
1.000000, 5.745563,0.605361
1.000000, 5.773691,0.605451
1.000000, 5.794611,0.605538
1.000000, 5.821454,0.605645
1.000000, 5.841996,0.605744
1.000000, 5.870605,0.605827
1.000000, 5.894220,0.605917
1.000000, 5.919460,0.605998
2.000000, 5.940457,0.606089
2.000000, 5.968164,0.606188
2.000000, 5.993621,0.606309
2.000000, 6.022598,0.606429
2.000000, 6.043390,0.606544
2.000000, 6.071606,0.606644
2.000000, 6.092706,0.606746
2.000000, 6.119629,0.606870
2.000000, 6.142634,0.606991
2.000000, 6.168983,0.607135
2.000000, 6.191742,0.607264
2.000000, 6.220743,0.607387
2.000000, 6.246492,0.607523
2.000000, 6.275950,0.607650
2.000000, 6.301360,0.607766
2.000000, 6.329171,0.607902
2.000000, 6.351057,0.608014
2.000000, 6.376921,0.608113
2.000000, 6.397945,0.608220
2.000000, 6.425219,0.608331
2.000000, 6.447970,0.608434
2.000000, 6.475232,0.608547
2.000000, 6.495807,0.608653
2.000000, 6.524093,0.608758
2.000000, 6.545403,0.608873
2.000000, 6.572576,0.608980
2.000000, 6.593281,0.609093
2.000000, 6.620758,0.609207
2.000000, 6.643570,0.609314
2.000000, 6.672360,0.609417
2.000000, 6.695937,0.609500
2.000000, 6.722421,0.609605
2.000000, 6.746528,0.609708
2.000000, 6.774123,0.609805
2.000000, 6.795215,0.609906
2.000000, 6.820900,0.610012
2.000000, 6.843334,0.610122
2.000000, 6.872626,0.610209
2.000000, 6.894611,0.610332
2.000000, 6.918936,0.610447
2.000000, 6.941936,0.610540
2.000000, 6.970223,0.610617
2.000000, 6.994207,0.610695
2.000000, 7.019901,0.610803
2.000000, 7.040957,0.610878
2.000000, 7.070645,0.610987
2.000000, 7.094467,0.611093
2.000000, 7.120107,0.611203
2.000000, 7.142150,0.611291
2.000000, 7.170966,0.611399
2.000000, 7.194106,0.611508
2.000000, 7.223387,0.611605
2.000000, 7.245245,0.611712
2.000000, 7.274076,0.611805
2.000000, 7.296290,0.611920
2.000000, 7.323766,0.612033
2.000000, 7.346741,0.612150
2.000000, 7.376478,0.612278
2.000000, 7.399046,0.612384
2.000000, 7.430177,0.612503
2.000000, 7.452741,0.612623
2.000000, 7.480780,0.612722
2.000000, 7.504560,0.612840
2.000000, 7.532801,0.612937
2.000000, 7.555483,0.613020
2.000000, 7.583995,0.613114
2.000000, 7.607178,0.613238
2.000000, 7.632847,0.613337
2.000000, 7.657314,0.613428
2.000000, 7.684433,0.613511
2.000000, 7.706706,0.613599
2.000000, 7.735110,0.613717
2.000000, 7.757699,0.613819
2.000000, 7.783744,0.613937
2.000000, 7.805521,0.614037
2.000000, 7.831499,0.614128
2.000000, 7.854652,0.614224
2.000000, 7.881353,0.614315
2.000000, 7.909215,0.614398
2.000000, 7.936090,0.614491
2.000000, 7.958932,0.614593
2.000000, 7.986902,0.614679
2.000000, 8.009866,0.614763
2.000000, 8.036120,0.614870
2.000000, 8.059412,0.614971
2.000000, 8.086375,0.615073
2.000000, 8.109065,0.615167
2.000000, 8.138440,0.615243
2.000000, 8.159625,0.615328
2.000000, 8.186525,0.615404
2.000000, 8.210934,0.615510
2.000000, 8.238349,0.615618
2.000000, 8.261142,0.615723
2.000000, 8.291456,0.615829
2.000000, 8.313457,0.615937
2.000000, 8.340636,0.616053
2.000000, 8.362217,0.616166
2.000000, 8.387382,0.616296
2.000000, 8.409754,0.616404
2.000000, 8.440459,0.616516
2.000000, 8.463106,0.616618
2.000000, 8.490435,0.616710
2.000000, 8.513847,0.616809
2.000000, 8.539536,0.616896
2.000000, 8.561678,0.616980
2.000000, 8.587822,0.617061
2.000000, 8.609355,0.617153
2.000000, 8.638205,0.617247
2.000000, 8.660869,0.617338
2.000000, 8.687035,0.617421
2.000000, 8.711926,0.617500
2.000000, 8.739829,0.617592
2.000000, 8.761365,0.617689
2.000000, 8.788218,0.617780
2.000000, 8.814655,0.617839
2.000000, 8.842883,0.617947
2.000000, 8.866054,0.618030
3.000000, 8.895242,0.618108
3.000000, 8.917487,0.618178
3.000000, 8.946067,0.618267
3.000000, 8.968603,0.618360
3.000000, 8.994714,0.618459
3.000000, 9.015170,0.618555
3.000000, 9.043071,0.618647
3.000000, 9.066307,0.618755
3.000000, 9.096472,0.618862
3.000000, 9.116810,0.618958
3.000000, 9.141719,0.619073
3.000000, 9.164474,0.619186
3.000000, 9.193599,0.619283
3.000000, 9.216855,0.619389
3.000000, 9.244815,0.619491
3.000000, 9.266707,0.619611
3.000000, 9.293308,0.619696
3.000000, 9.315860,0.619785
3.000000, 9.343461,0.619869
3.000000, 9.364333,0.619946
3.000000, 9.390387,0.620041
3.000000, 9.413499,0.620134
3.000000, 9.441718,0.620209
3.000000, 9.464759,0.620315
3.000000, 9.490752,0.620400
3.000000, 9.513730,0.620488
3.000000, 9.543458,0.620583
3.000000, 9.564533,0.620675
3.000000, 9.589586,0.620770
3.000000, 9.610502,0.620870
3.000000, 9.637919,0.620968
3.000000, 9.659636,0.621051
3.000000, 9.685343,0.621134
3.000000, 9.709747,0.621234
3.000000, 9.737020,0.621328
3.000000, 9.761218,0.621423
3.000000, 9.787413,0.621501
3.000000, 9.809060,0.621576
3.000000, 9.835079,0.621657
3.000000, 9.856830,0.621726
3.000000, 9.887669,0.621801
3.000000, 9.910871,0.621865
3.000000, 9.938437,0.621940
3.000000, 9.959935,0.622027
3.000000, 9.988119,0.622089
3.000000, 10.010988,0.622150
3.000000, 10.039311,0.622220
3.000000, 10.061120,0.622306
3.000000, 10.090596,0.622380
3.000000, 10.111697,0.622454
3.000000, 10.138726,0.622533
3.000000, 10.161326,0.622615
3.000000, 10.186481,0.622704
3.000000, 10.208870,0.622786
3.000000, 10.234674,0.622882
3.000000, 10.256512,0.622989
3.000000, 10.282748,0.623080
3.000000, 10.304220,0.623180
